Alto nivel auto-organización -(Auto+Ali);Medio nivel auto-organización - (Auto+Ali);Medio-bajo nivel auto-organización - (Auto+Ali);Bajo nivel auto-organización - (Auto+Ali);Pacesetting Leader;Democratic Leader;Affiliative Leader;Visionary Leader;Coaching Leader;Commanding Leader;Autonomía [El equipo tiene autonomía para decidir cómo trabajar];Alineamiento [El equipo tiene autonomía para decidir cómo trabajar];Democratico +Alto autorg;Democratico +Medio 3 autorg;Democratico +Medio 2 autorg;Democratico +Bajomedio autorg;Afiliativo +Alto autorg;Afiliativo +Medio 3 autorg;Afiliativo +Medio 2 autorg;Afiliativo +Bajo autorg;Visionario +Alto autorg;Visionario +Medio 3 autorg;Visionario +Medio 2 autorg;Visionario+Bajomedio autorg;Coaching+Alto autorg;Coaching+Medio 3 autorg;Coaching+Medio 2 autorg;Coaching+Bajo autorg;Pacceseting+Alto autorg;Pacceseting+Medio 3 autorg;Pacceseting+Medio 2 autorg;Pacceseting+Bajo autorg;Commanding+Alto autorg;Commanding+Medio 3 autorg;Commanding+Medio 2autorg;Commanding+Bajo autorg
0;0;0;1;0;1;1;1;1;0;No;No;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
1;0;0;0;1;1;1;1;1;1;Si;Si;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
0;0;0;1;0;0;0;0;0;0;No;No;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;1;1;1;1;1;Si;Si;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
0;0;0;1;0;0;0;0;0;1;No;No;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;0;0;0;;1;;1;;;Si;Si;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;1;1;1;1;0;Si;Si;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;1;0;0;0;0;1;Si;No;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
0;0;1;0;0;0;0;0;0;0;Si;No;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;Si;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;1;1;1;1;0;Si;No;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
